StationCode,SampleDate,CollectionTime,CollectionDepth,UnitCollectionDepth,Analyte,Unit,Result,latitude,longitude,PositionWaterColumn,Huc12_name,Huc12_number
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Permethrin, trans-, Total",ug/L,-0.025,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Arsenic, Dissolved",ug/L,1.3,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Copper, Dissolved",ug/L,1.5,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,2/17/2011 12:00:00 AM,12/30/1899 12:35:00 PM,-88,m,"Nickel, Total",ug/L,2.7,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 7:45:00 AM,-88,m,Enterococcus,MPN/100 mL,40,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 7:45:00 AM,-88,m,"OilandGrease, HEM, Total",mg/L,-5,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Azinphos Methyl, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Malathion, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Mevinphos, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Tokuthion, Total",ug/L,-0.01,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,5/10/2011 12:00:00 AM,12/30/1899 8:14:00 AM,-88,m,"Lead, Dissolved",ug/L,0.039,33.398142,-117.26273,Not Applicable,NA,NA
SMR-MLS-2,9/5/2012 12:00:00 AM,12/30/1899 7:35:00 AM,-88,m,"Coliform, Total",MPN/100 mL,800,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Selenium, Dissolved",ug/L,0.67,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Coumaphos, Total",ug/L,-0.0051,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,9/6/2012 12:00:00 AM,12/30/1899 6:55:00 AM,-88,m,"Phorate, Total",ug/L,-0.003,33.398142,-117.26273,Not Recorded,NA,NA
SMR-MLS-2,10/12/2012 12:00:00 AM,12/30/1899 8:08:00 AM,-88,m,"Cyfluthrin, total, Total",ug/L,-5e-4,33.398142,-117.26273,Not Recorded,NA,NA
